MATERIAL_NUMBER,Order Count,ABC,PICK_FACE_NO_OF_LOC
ITM742,674,A,1
ITM5010,576,A,1
ITM1130,553,A,1
ITM2103,523,A,1
ITM157,463,A,1
ITM5011,439,A,1
ITM677,415,A,1
ITM5012,411,A,1
ITM5013,387,A,1
ITM5014,362,A,1
ITM147,362,A,1
ITM373,360,A,1
ITM149,325,A,1
ITM935,321,A,1
ITM328,288,A,1
ITM158,284,A,1
ITM5015,269,A,1
ITM23,268,A,1
ITM789,267,A,1
ITM384,266,A,1
ITM5546,260,A,1
ITM5761,256,A,1
ITM5574,251,A,1
ITM6416,250,A,1
ITM2,247,A,1
ITM6,241,A,1
ITM21,241,A,1
ITM5579,237,A,1
ITM1370,237,A,1
ITM788,235,A,1
ITM6246,234,A,1
ITM5626,234,A,1
ITM199,233,A,1
ITM6436,233,A,1
ITM161,233,A,1
ITM1,230,A,1
ITM3,228,A,1
ITM6495,224,A,1
ITM5640,222,A,1
ITM9,222,A,1
ITM5022,218,A,1
ITM75,218,A,1
ITM148,208,A,1
ITM6182,203,A,3
ITM5627,200,A,1
ITM3164,195,A,1
ITM6071,191,A,1
ITM6087,190,A,1
ITM77,189,A,1
ITM5,188,A,1
ITM5645,184,A,1
ITM1044,180,A,1
ITM1114,178,A,1
ITM45,176,A,1
ITM5628,175,A,1
ITM5271,175,A,1
ITM5932,174,A,1
ITM6428,168,A,1
ITM4,168,A,1
ITM1236,166,A,1
ITM6392,163,A,1
ITM2105,163,A,1
ITM6050,163,A,1
ITM5210,162,A,1
ITM5646,161,A,1
ITM1120,161,A,1
ITM5738,159,A,1
ITM1281,157,A,1
ITM5249,157,A,1
ITM6139,156,A,1
ITM383,156,A,1
ITM5187,156,A,1
ITM6013,155,A,1
ITM6369,154,A,1
ITM731,151,A,1
ITM6048,150,A,1
ITM6047,150,A,1
ITM6083,148,A,1
ITM5660,148,A,1
ITM260,147,A,1
ITM1540,146,A,1
ITM6367,143,A,1
ITM6137,143,A,1
ITM163,143,A,1
ITM5715,142,A,1
ITM5851,139,A,1
ITM1478,138,A,1
ITM6245,136,A,1
ITM2769,134,A,1
ITM6372,132,A,1
ITM1659,131,A,1
ITM5099,128,A,1
ITM6116,128,A,1
ITM6356,125,A,1
ITM5529,125,A,1
ITM6134,124,A,1
ITM6520,124,A,1
ITM2948,123,A,1
ITM5184,123,A,1
ITM6548,122,A,1
ITM1328,122,A,1
ITM6417,121,A,1
ITM6393,120,A,1
ITM5084,120,A,1
ITM6058,119,A,1
ITM6045,119,A,1
ITM236,118,A,1
ITM6128,118,A,1
ITM929,117,A,1
ITM6154,116,A,1
ITM6409,116,A,1
ITM736,116,A,1
ITM4005,115,A,1
ITM6394,114,A,1
ITM5536,112,A,1
ITM5532,112,A,1
ITM6429,111,A,1
ITM2665,110,A,1
ITM5790,109,A,1
ITM6090,109,A,1
ITM6155,109,A,1
ITM6242,109,A,1
ITM940,108,A,1
ITM6262,108,A,1
ITM5612,108,A,1
ITM1050,107,A,1
ITM6341,107,A,1
ITM1312,106,A,1
ITM6264,105,A,1
ITM5351,105,A,1
ITM5695,105,A,1
ITM6173,105,A,1
ITM6082,104,A,1
ITM1280,104,A,1
ITM5794,104,A,1
ITM6174,104,A,1
ITM5747,104,A,1
ITM5528,103,A,1
ITM1453,103,A,1
ITM394,102,A,1
ITM6473,102,A,1
ITM19,101,A,1
ITM1442,100,A,1
ITM5350,99,A,1
ITM5642,99,A,1
ITM6415,99,A,1
ITM2233,99,A,1
ITM6565,98,A,1
ITM5188,97,A,1
ITM5653,97,A,1
ITM6366,97,A,1
ITM187,96,A,1
ITM5749,96,A,1
ITM5775,96,A,1
ITM6046,96,A,1
ITM6398,95,A,1
ITM6175,95,A,1
ITM6156,95,A,1
ITM6062,95,A,1
ITM5776,94,A,1
ITM497,94,A,1
ITM676,93,A,1
ITM6124,93,A,1
ITM1854,93,A,1
ITM6465,93,A,1
ITM6382,91,A,1
ITM1625,91,A,1
ITM5981,91,A,1
ITM1760,91,A,1
ITM1546,89,A,1
ITM6153,88,A,1
ITM6249,88,A,1
ITM376,87,A,1
ITM6437,87,A,1
ITM6248,87,A,1
ITM5936,87,A,1
ITM6472,87,A,1
ITM5186,87,A,1
ITM5841,86,A,1
ITM6094,86,A,1
ITM6563,85,A,1
ITM2107,85,A,1
ITM1590,85,A,1
ITM6408,85,A,1
ITM939,85,A,1
ITM6157,85,A,1
ITM6043,85,A,1
ITM6357,84,A,1
ITM5671,84,A,1
ITM5912,84,A,1
ITM472,83,A,1
ITM5281,83,A,1
ITM6381,83,A,1
ITM5693,82,A,1
ITM5773,82,A,1
ITM6500,82,A,1
ITM1867,81,A,1
ITM5832,80,A,1
ITM313,79,A,1
ITM5765,79,A,1
ITM5763,79,A,1
ITM6167,78,A,1
ITM5282,78,A,1
ITM6163,77,A,1
ITM6166,76,A,1
ITM6164,76,A,1
ITM378,76,A,1
ITM1293,76,A,1
ITM1998,76,A,1
ITM6091,76,A,1
ITM5035,75,A,1
ITM1729,75,A,1
ITM2066,75,A,1
ITM1994,74,A,1
ITM5783,74,A,1
ITM377,73,A,1
ITM5740,72,A,1
ITM165,72,A,1
ITM5781,72,A,1
ITM1232,72,A,1
ITM1997,72,A,1
ITM188,71,A,1
ITM6088,71,A,1
ITM1234,71,A,1
ITM6263,70,A,1
ITM6135,70,A,1
ITM6349,70,A,1
ITM8,70,A,1
ITM5592,70,A,1
ITM6326,70,A,1
ITM6430,69,A,1
ITM6351,69,A,1
ITM465,68,A,1
ITM1320,68,A,1
ITM1035,68,A,1
ITM6112,67,A,1
ITM1057,67,A,1
ITM6432,67,A,1
ITM1000,66,A,1
ITM5057,66,A,1
ITM6165,66,A,1
ITM5700,65,A,1
ITM5200,65,A,1
ITM5233,64,A,1
ITM6593,64,A,1
ITM5808,64,A,1
ITM6284,64,A,1
ITM1169,63,A,1
ITM5786,63,A,1
ITM6179,63,A,1
ITM6470,63,A,1
ITM6247,63,A,1
ITM6426,63,A,1
ITM5762,62,A,1
ITM835,62,A,1
ITM2277,62,A,1
ITM5733,62,A,1
ITM5581,61,A,1
ITM6371,61,A,1
ITM152,61,A,1
ITM5836,61,A,1
ITM1019,61,A,1
ITM232,61,A,1
ITM381,60,A,1
ITM5741,60,A,1
ITM6334,60,A,1
ITM2486,60,A,1
ITM6075,60,A,1
ITM5748,60,A,1
ITM5349,60,A,1
ITM1012,59,A,1
ITM1231,59,A,1
ITM480,59,A,1
ITM6095,59,A,1
ITM5092,59,A,1
ITM6423,58,A,1
ITM6054,58,A,1
ITM6178,58,A,1
ITM1386,57,A,1
ITM5714,57,A,1
ITM5831,57,A,1
ITM5652,57,A,1
ITM6066,57,A,1
ITM1427,57,A,1
ITM6419,57,A,1
ITM5046,57,A,1
ITM229,57,A,1
ITM5698,56,A,1
ITM2562,56,A,1
ITM5746,56,A,1
ITM1250,56,A,1
ITM5924,56,A,1
ITM1753,56,A,1
ITM390,56,A,1
ITM6443,55,A,1
ITM6389,55,A,1
ITM5023,55,A,1
ITM6320,54,A,1
ITM1129,54,A,1
ITM6355,54,A,1
ITM5208,54,A,1
ITM179,54,A,1
ITM5772,54,A,1
ITM1812,53,A,1
ITM993,53,A,1
ITM450,53,A,1
ITM6471,53,A,1
ITM389,53,A,1
ITM5837,52,A,1
ITM5218,52,A,1
ITM5825,52,A,1
ITM2853,52,A,1
ITM6400,52,A,1
ITM6350,51,A,1
ITM1037,51,A,1
ITM5830,51,A,1
ITM156,51,A,1
ITM5659,51,A,1
ITM983,51,A,1
ITM6089,51,A,1
ITM6385,51,A,1
ITM5087,51,A,1
ITM6616,51,A,1
ITM5800,50,A,1
ITM5689,50,A,1
ITM5801,50,A,1
ITM5694,50,A,1
ITM453,50,A,1
ITM5504,50,A,1
ITM6614,49,A,1
ITM196,49,A,1
ITM1122,49,A,1
ITM6592,49,A,1
ITM1649,49,A,1
ITM6107,49,A,1
ITM208,49,A,1
ITM6280,48,A,1
ITM6460,48,A,1
ITM1999,48,A,1
ITM6102,48,A,1
ITM6051,48,A,1
ITM5503,48,A,1
ITM1519,47,A,1
ITM6438,47,A,1
ITM1054,47,A,1
ITM1948,46,A,1
ITM5782,46,A,1
ITM3069,46,A,1
ITM717,46,A,1
ITM5809,46,A,1
ITM1081,45,A,1
ITM5030,45,A,1
ITM1548,45,A,1
ITM6411,45,A,1
ITM2408,45,A,1
ITM6040,45,A,1
ITM1813,45,A,1
ITM2128,45,A,1
ITM3210,44,A,1
ITM6136,44,A,1
ITM6020,44,A,1
ITM1641,44,A,1
ITM20,44,A,1
ITM5883,44,A,1
ITM6596,44,A,1
ITM5585,44,A,1
ITM6152,44,A,1
ITM5687,44,A,1
ITM5994,43,A,1
ITM393,43,A,1
ITM6412,43,A,1
ITM1825,43,A,1
ITM2914,43,A,1
ITM281,43,A,1
ITM3429,42,A,1
ITM1817,42,A,1
ITM6374,42,A,1
ITM358,42,A,1
ITM5545,42,A,1
ITM6172,42,A,1
ITM6352,42,A,1
ITM5791,42,A,1
ITM5726,42,A,1
ITM5090,42,A,1
ITM6042,41,A,1
ITM6177,41,A,1
ITM5331,41,A,1
ITM5701,41,A,1
ITM5137,41,A,1
ITM6442,41,A,1
ITM5672,40,A,1
ITM2772,40,A,1
ITM1319,40,A,1
ITM6497,40,A,1
ITM6265,40,A,1
ITM5745,40,A,1
ITM2011,40,A,1
ITM2054,40,A,1
ITM1033,40,A,1
ITM166,39,A,1
ITM5214,39,A,1
ITM2337,39,A,1
ITM5639,39,A,1
ITM735,39,A,1
ITM5834,39,A,1
ITM1361,39,A,1
ITM5336,38,A,1
ITM374,38,A,1
ITM6434,38,A,1
ITM5142,38,A,1
ITM5587,38,A,1
ITM6039,38,A,1
ITM5877,38,A,1
ITM5045,38,A,1
ITM1843,38,A,1
ITM1905,38,A,1
ITM273,38,A,1
ITM1353,38,A,1
ITM6117,38,A,1
ITM1811,38,A,1
ITM5665,38,A,1
ITM1996,37,A,1
ITM1658,37,A,1
ITM1899,37,A,1
ITM5610,37,A,1
ITM1256,37,A,1
ITM1153,37,A,1
ITM3789,37,A,1
ITM1589,37,A,1
ITM5744,36,A,1
ITM5027,36,A,1
ITM1556,36,A,1
ITM6477,36,A,1
ITM6061,36,A,1
ITM259,36,A,1
ITM5095,36,A,1
ITM5846,36,A,1
ITM1674,36,A,1
ITM1075,35,A,1
ITM1116,35,A,1
ITM5501,35,A,1
ITM5561,35,A,1
ITM1302,35,A,1
ITM1496,35,A,1
ITM1311,35,A,1
ITM6364,35,A,1
ITM5075,35,A,1
ITM5739,35,A,1
ITM5220,35,A,1
ITM6467,35,A,1
ITM1838,35,A,1
ITM5505,35,A,1
ITM5982,34,A,1
ITM5861,34,A,1
ITM5827,34,A,1
ITM244,34,A,1
ITM6276,34,A,1
ITM6109,34,A,1
ITM5104,34,A,1
ITM1315,34,A,1
ITM5073,34,A,1
ITM6084,34,A,1
ITM2072,34,A,1
ITM5206,33,A,1
ITM5810,33,A,1
ITM5928,33,A,1
ITM168,33,A,1
ITM5767,33,A,1
ITM541,33,A,1
ITM2367,33,A,1
ITM1765,33,A,1
ITM5844,33,A,1
ITM2876,33,A,1
ITM1555,33,A,1
ITM672,33,A,1
ITM5696,33,A,1
ITM2229,33,A,1
ITM6482,32,A,1
ITM6618,32,A,1
ITM6387,32,A,1
ITM6244,32,A,1
ITM5074,32,A,1
ITM6093,32,A,1
ITM5575,32,A,1
ITM276,32,A,1
ITM5764,31,A,1
ITM6485,31,A,1
ITM5780,31,A,1
ITM2705,31,A,1
ITM2406,31,A,1
ITM1680,31,A,1
ITM6489,31,A,1
ITM2845,31,A,1
ITM5779,31,A,1
ITM5071,31,A,1
ITM5070,31,A,1
ITM5651,31,A,1
ITM1553,30,A,1
ITM5957,30,A,1
ITM6461,30,A,1
ITM6421,30,A,1
ITM172,30,A,1
ITM6006,30,A,1
ITM5072,30,A,1
ITM5716,30,A,1
ITM5586,30,A,1
ITM1258,30,A,1
ITM6049,30,A,1
ITM1707,30,A,1
ITM5680,30,A,1
ITM6639,30,A,1
ITM6475,30,A,1
ITM6566,30,A,1
ITM3411,29,A,1
ITM5043,29,A,1
ITM5807,29,A,1
ITM5899,29,A,1
ITM1686,29,A,1
ITM5644,29,A,1
ITM6440,29,A,1
ITM1007,29,A,1
ITM6348,29,A,1
ITM1872,29,A,1
ITM2044,29,A,1
ITM195,29,A,1
ITM1235,29,A,1
ITM2407,29,A,1
ITM5058,29,A,1
ITM164,29,A,1
ITM2163,29,A,1
ITM5993,28,A,1
ITM6644,28,A,1
ITM1636,28,A,1
ITM5483,28,A,1
ITM6285,28,A,1
ITM1045,28,A,1
ITM5949,28,A,1
ITM5250,28,A,1
ITM2832,28,A,1
ITM2036,28,A,1
ITM159,28,A,1
ITM1654,28,A,1
ITM6626,28,A,1
ITM6031,28,A,1
ITM5596,28,A,1
ITM6073,27,A,1
ITM3373,27,A,1
ITM386,27,A,1
ITM6028,27,A,1
ITM1493,27,A,1
ITM5025,27,A,1
ITM6056,27,A,1
ITM5485,27,A,1
ITM5259,27,A,1
ITM1856,27,A,1
ITM6607,27,A,1
ITM930,27,A,1
ITM5664,27,A,1
ITM5599,27,A,1
ITM5860,27,A,1
ITM5648,27,A,1
ITM949,27,A,1
ITM1421,27,A,1
ITM5205,27,A,1
ITM5938,26,A,1
ITM6162,26,A,1
ITM2957,26,A,1
ITM5940,26,A,1
ITM1329,26,A,1
ITM76,26,A,1
ITM5593,26,A,1
ITM5697,26,A,1
ITM6018,26,A,1
ITM1233,26,A,1
ITM1197,26,A,1
ITM1368,26,A,1
ITM1902,26,A,1
ITM6431,26,A,1
ITM6241,26,A,1
ITM5743,26,A,1
ITM1793,25,A,1
ITM5268,25,A,1
ITM5203,25,A,1
ITM1237,25,A,1
ITM5720,25,A,1
ITM1204,25,A,1
ITM2104,25,A,1
ITM5295,25,A,1
ITM1290,25,A,1
ITM6452,25,A,1
ITM5346,25,A,1
ITM1200,25,A,1
ITM469,25,A,1
ITM1755,25,A,1
ITM6131,25,A,1
ITM1756,25,A,1
ITM6129,25,A,1
ITM6479,24,A,1
ITM1797,24,A,1
ITM5177,24,A,1
ITM3074,24,A,1
ITM1109,24,A,1
ITM1932,24,A,1
ITM994,24,A,1
ITM2114,24,A,1
ITM1623,24,A,1
ITM5348,24,A,1
ITM5737,24,A,1
ITM5594,24,A,1
ITM6594,23,A,1
ITM5280,23,A,1
ITM6151,23,A,1
ITM6118,23,A,1
ITM5273,23,A,1
ITM5736,23,A,1
ITM6057,23,A,1
ITM1079,23,A,1
ITM6064,23,A,1
ITM201,23,A,1
ITM6096,23,A,1
ITM4038,23,A,1
ITM5194,23,A,1
ITM5321,23,A,1
ITM6345,23,A,1
ITM5766,23,A,1
ITM1693,23,A,1
ITM1156,23,A,1
ITM6267,23,A,1
ITM5769,23,A,1
ITM6496,23,A,1
ITM1853,23,A,1
ITM174,22,A,1
ITM5379,22,A,1
ITM5097,22,A,1
ITM906,22,A,1
ITM5934,22,A,1
ITM5182,22,A,1
ITM1091,22,A,1
ITM5995,22,A,1
ITM5894,22,A,1
ITM2331,22,A,1
ITM6610,22,A,1
ITM180,22,A,1
ITM169,22,A,1
ITM5822,22,A,1
ITM6065,22,A,1
ITM1758,22,A,1
ITM6235,22,A,1
ITM5690,22,A,1
ITM6488,22,A,1
ITM1645,21,B,1
ITM5508,21,B,1
ITM6773,21,B,1
ITM2226,21,B,1
ITM5047,21,B,1
ITM5598,21,B,1
ITM826,21,B,1
ITM6418,21,B,1
ITM6113,21,B,1
ITM6558,21,B,1
ITM5650,21,B,1
ITM545,21,B,1
ITM1952,21,B,1
ITM6346,21,B,1
ITM5668,21,B,1
ITM5663,21,B,1
ITM6454,21,B,1
ITM5770,21,B,1
ITM6343,20,B,1
ITM6125,20,B,1
ITM5337,20,B,1
ITM5987,20,B,1
ITM6427,20,B,1
ITM1123,20,B,1
ITM5784,20,B,1
ITM3278,20,B,1
ITM5309,20,B,1
ITM5723,20,B,1
ITM5870,20,B,1
ITM83,20,B,1
ITM6599,20,B,1
ITM5296,20,B,1
ITM178,20,B,1
ITM5231,20,B,1
ITM798,20,B,1
ITM6332,20,B,1
ITM5901,20,B,1
ITM5699,20,B,1
ITM6270,19,B,1
ITM5876,19,B,1
ITM1205,19,B,1
ITM6478,19,B,1
ITM5909,19,B,1
ITM6564,19,B,1
ITM5317,19,B,1
ITM2153,19,B,1
ITM6641,19,B,1
ITM6041,19,B,1
ITM1115,19,B,1
ITM5527,19,B,1
ITM5020,19,B,1
ITM2492,19,B,1
ITM2771,19,B,1
ITM5219,19,B,1
ITM6130,19,B,1
ITM5584,19,B,1
ITM5094,19,B,1
ITM3095,19,B,1
ITM6052,19,B,1
ITM5487,19,B,1
ITM2240,19,B,1
ITM5826,19,B,1
ITM5603,19,B,1
ITM5041,18,B,1
ITM5847,18,B,1
ITM5655,18,B,1
ITM5797,18,B,1
ITM6161,18,B,1
ITM5771,18,B,1
ITM1483,18,B,1
ITM2603,18,B,1
ITM5658,18,B,1
ITM6261,18,B,1
ITM2890,18,B,1
ITM1167,18,B,1
ITM5878,18,B,1
ITM6702,18,B,1
ITM2019,18,B,1
ITM3208,18,B,1
ITM761,18,B,1
ITM2039,18,B,1
ITM6055,18,B,1
ITM6011,18,B,1
ITM6144,18,B,1
ITM5334,18,B,1
ITM6562,17,B,1
ITM6032,17,B,1
ITM838,17,B,1
ITM5835,17,B,1
ITM6625,17,B,1
ITM5774,17,B,1
ITM2416,17,B,1
ITM5951,17,B,1
ITM6327,17,B,1
ITM5725,17,B,1
ITM6099,17,B,1
ITM5544,17,B,1
ITM5333,17,B,1
ITM360,17,B,1
ITM6359,17,B,1
ITM2316,17,B,1
ITM5702,17,B,1
ITM661,17,B,1
ITM33,17,B,1
ITM1040,17,B,1
ITM5261,17,B,1
ITM6085,17,B,1
ITM794,17,B,1
ITM6651,17,B,1
ITM5297,17,B,1
ITM1385,17,B,1
ITM1886,17,B,1
ITM177,17,B,1
ITM6269,17,B,1
ITM3898,17,B,1
ITM1931,17,B,1
ITM1904,17,B,1
ITM6286,16,B,1
ITM5283,16,B,1
ITM6655,16,B,1
ITM5679,16,B,1
ITM5727,16,B,1
ITM5816,16,B,1
ITM1866,16,B,1
ITM5044,16,B,1
ITM5815,16,B,1
ITM153,16,B,1
ITM5173,16,B,1
ITM2471,16,B,1
ITM5042,16,B,1
ITM2432,16,B,1
ITM1816,16,B,1
ITM6274,16,B,1
ITM5937,16,B,1
ITM6255,16,B,1
ITM5551,16,B,1
ITM5185,16,B,1
ITM5525,16,B,1
ITM6068,16,B,1
ITM3205,16,B,1
ITM1041,16,B,1
ITM6266,16,B,1
ITM31,16,B,1
ITM5509,15,B,1
ITM2982,15,B,1
ITM908,15,B,1
ITM6629,15,B,1
ITM5488,15,B,1
ITM2753,15,B,1
ITM6060,15,B,1
ITM6523,15,B,1
ITM6401,15,B,1
ITM5656,15,B,1
ITM2628,15,B,1
ITM247,15,B,1
ITM5106,15,B,1
ITM5608,15,B,1
ITM951,15,B,1
ITM5711,15,B,1
ITM1637,15,B,1
ITM1321,15,B,1
ITM6466,15,B,1
ITM6330,15,B,1
ITM2035,15,B,1
ITM703,15,B,1
ITM6603,15,B,1
ITM5997,15,B,1
ITM6279,15,B,1
ITM6516,15,B,1
ITM6590,15,B,1
ITM5880,15,B,1
ITM5190,15,B,1
ITM486,15,B,1
ITM66,15,B,1
ITM5750,15,B,1
ITM1043,15,B,1
ITM5925,15,B,1
ITM5310,15,B,1
ITM5710,14,B,1
ITM6008,14,B,1
ITM173,14,B,1
ITM2441,14,B,1
ITM5980,14,B,1
ITM5879,14,B,1
ITM3134,14,B,1
ITM5192,14,B,1
ITM5392,14,B,1
ITM5197,14,B,1
ITM5496,14,B,1
ITM2275,14,B,1
ITM6283,14,B,1
ITM6304,14,B,1
ITM6715,14,B,1
ITM6120,14,B,1
ITM5789,14,B,1
ITM1585,14,B,1
ITM563,14,B,1
ITM6648,14,B,1
ITM5033,14,B,1
ITM2483,14,B,1
ITM6795,14,B,1
ITM6642,14,B,1
ITM6821,14,B,1
ITM2754,14,B,1
ITM2618,14,B,1
ITM5567,14,B,1
ITM6126,14,B,1
ITM5024,14,B,1
ITM510,14,B,1
ITM5892,13,B,1
ITM484,13,B,1
ITM5553,13,B,1
ITM5706,13,B,1
ITM1017,13,B,1
ITM1897,13,B,1
ITM333,13,B,1
ITM813,13,B,1
ITM5673,13,B,1
ITM6391,13,B,1
ITM5189,13,B,1
ITM5989,13,B,1
ITM5742,13,B,1
ITM5325,13,B,1
ITM5926,13,B,1
ITM1443,13,B,1
ITM5751,13,B,1
ITM5933,13,B,1
ITM1638,13,B,1
ITM6253,13,B,1
ITM2977,13,B,1
ITM828,13,B,1
ITM917,13,B,1
ITM2049,13,B,1
ITM5260,13,B,1
ITM2017,13,B,1
ITM2642,13,B,1
ITM5526,13,B,1
ITM5263,13,B,1
ITM1334,13,B,1
ITM5209,13,B,1
ITM1031,13,B,1
ITM5850,13,B,1
ITM5705,13,B,1
ITM6181,13,B,1
ITM5865,13,B,1
ITM6484,13,B,1
ITM3025,13,B,1
ITM5758,13,B,1
ITM1995,13,B,1
ITM6597,13,B,1
ITM6405,13,B,1
ITM5633,13,B,1
ITM5490,13,B,1
ITM1709,13,B,1
ITM5682,13,B,1
ITM6887,13,B,1
ITM6256,13,B,1
ITM5918,13,B,1
ITM6955,13,B,1
ITM6517,13,B,1
ITM5557,13,B,1
ITM171,13,B,1
ITM5852,13,B,1
ITM151,12,B,1
ITM6288,12,B,1
ITM5181,12,B,1
ITM5657,12,B,1
ITM740,12,B,1
ITM5319,12,B,1
ITM5049,12,B,1
ITM6698,12,B,1
ITM3180,12,B,1
ITM6038,12,B,1
ITM1635,12,B,1
ITM3253,12,B,1
ITM5559,12,B,1
ITM5729,12,B,1
ITM6598,12,B,1
ITM5081,12,B,1
ITM533,12,B,1
ITM5662,12,B,1
ITM1980,12,B,1
ITM6110,12,B,1
ITM2150,12,B,1
ITM1117,12,B,1
ITM6029,12,B,1
ITM6012,12,B,1
ITM342,12,B,1
ITM1861,12,B,1
ITM1871,12,B,1
ITM5322,12,B,1
ITM6307,12,B,1
ITM5129,12,B,1
ITM5873,12,B,1
ITM5132,12,B,1
ITM1643,12,B,1
ITM5893,12,B,1
ITM1913,12,B,1
ITM6146,12,B,1
ITM6390,12,B,1
ITM5320,12,B,1
ITM6145,12,B,1
ITM5048,12,B,1
ITM5292,12,B,1
ITM3258,12,B,1
ITM269,12,B,1
ITM2711,12,B,1
ITM5548,12,B,1
ITM5202,12,B,1
ITM5935,12,B,1
ITM489,12,B,1
ITM5757,12,B,1
ITM5254,11,C,1
ITM498,11,C,1
ITM6705,11,C,1
ITM1993,11,C,1
ITM5232,11,C,1
ITM6063,11,C,1
ITM790,11,C,1
ITM5191,11,C,1
ITM5792,11,C,1
ITM4497,11,C,1
ITM1700,11,C,1
ITM6180,11,C,1
ITM6353,11,C,1
ITM6468,11,C,1
ITM1422,11,C,1
ITM992,11,C,1
ITM5704,11,C,1
ITM5215,11,C,1
ITM1295,11,C,1
ITM6272,11,C,1
ITM5636,11,C,1
ITM2572,11,C,1
ITM5039,11,C,1
ITM5347,11,C,1
ITM6602,11,C,1
ITM5829,11,C,1
ITM1076,11,C,1
ITM1338,11,C,1
ITM5583,11,C,1
ITM6053,11,C,1
